product Id, product Name, Price Per Metre, Sample Price, Delivery Price
350,Moghul Poppy,443.00,6.00,30.00
351,Monfaucon ,443.00,6.00,30.00
352,Mortlake,443.00,6.00,30.00
353,Ottomania,443.00,6.00,30.00
354,Pekoe,399.00,6.00,30.00
355,Pillar Stripe,443.00,6.00,30.00
356,Pompadour,443.00,6.00,30.00
357,Rajashtan Rose,443.00,6.00,30.00
358,Ribbon and Rose,443.00,6.00,30.00
359,Rose and Lilacs,443.00,6.00,30.00
360,Rosemaine,443.00,6.00,30.00
361,Roses et Natte,443.00,6.00,30.00
362,Sanganer,443.00,6.00,30.00
363,Tamarind,443.00,6.00,30.00
364,Tarascon,443.00,6.00,30.00
365,Topaki,443.00,6.00,30.00
366,Chestnut,440.00,9.00,30.00
367,Blackberry,440.00,9.00,30.00
368,Hayfield,440.00,9.00,30.00
369,Marrow,440.00,9.00,30.00
370,Grapevine,440.00,9.00,30.00
371,Thistle,440.00,9.00,30.00
372,Hydrangea and Rose,185.00,0.00,25.00
373,Auricula,199.00,0.00,25.00
374,Lily and Auricula,320.00,0.00,25.00
375,Waikiki,313.00,0.00,25.00
376,Peony and Blossom,199.00,0.00,25.00
377,Cordoba,365.00,0.00,25.00
378,Rossmore,246.00,0.00,25.00
379,Amazon,365.00,0.00,25.00
380,Tamar,365.00,0.00,25.00
381,Tamar Byzantium,365.00,0.00,25.00
382,Jamawar,327.00,0.00,25.00
383,Trezibond,336.00,0.00,25.00
384,Wee Beasties Birds,305.00,0.00,25.00
385,Wee Beasties Dog,384.00,0.00,25.00
386,Wee Beasties Cat,400.00,0.00,25.00
387,Moondog,368.00,0.00,25.00
388,Friendly Flowers,440.00,0.00,25.00
389,Mythical Creatures,555.00,0.00,25.00
390,Mythical Creatures,529.00,0.00,25.00
391,Falling Leaves,461.00,0.00,25.00
392,Heart of Oak,515.00,0.00,25.00
393,Flora,392.00,0.00,25.00
394,Moghul,498.00,0.00,25.00
395,Ferris,389.00,0.00,25.00
396,Naz in Red,576.00,0.00,25.00
397,Naz in Blue,576.00,0.00,25.00
398,Roya,498.00,0.00,25.00
399,Mitra,498.00,0.00,25.00
400,Darius,362.00,0.00,25.00
401,Cyrus,380.00,0.00,25.00
402,Dina,410.00,0.00,25.00
403,Mina,432.00,0.00,25.00
404,Orvieto,486.00,0.00,25.00
405,Urbino,529.00,0.00,25.00
406,Walking the Dog,360.00,0.00,25.00
407,Dogs Chasing Butterfies,296.00,0.00,25.00
408,Jumping Over the House,388.00,0.00,25.00
409,Dogs and Balls,422.00,0.00,25.00
410,Dogs and Balls Linen,451.00,0.00,25.00
411,Sit! (Linen),389.00,0.00,25.00
412,Dogs,346.00,0.00,25.00
413,Sit!  ,477.00,0.00,25.00
414,Tulip and Bluebell (Large),485.00,0.00,25.00
415,Exotic Tree with Bird,581.00,0.00,25.00
416,Exotic Tree with Animals,521.00,0.00,25.00
417,Botanic and Insect Garden (A),493.00,0.00,25.00
418,Botanic and Insect Garden (B),378.00,0.00,25.00
419,Lion and Hillock,433.00,0.00,25.00
420,Deer and Hillock,433.00,0.00,25.00
421,Daisy Trellis,411.00,0.00,25.00
422,Palm Tree,389.00,0.00,25.00
423,Exotic Palms,405.00,0.00,25.00
424,Bugs, Butterflies and Leaves,312.00,0.00,25.00
425,Fleurs de Champs in Pink,361.00,0.00,25.00
426,Fleurs de Champs in Blue,361.00,0.00,25.00
427,Fleur de Jardin in Deep Blue,295.00,0.00,25.00
428,Fleur de Jardin in Gold,295.00,0.00,25.00
429,Iris,334.00,0.00,25.00
430,Peony  ,334.00,0.00,25.00
431,Anenomes,241.00,0.00,25.00
432,Auriculas (Square),454.00,0.00,25.00
433,Golden Daffodils,300.00,0.00,25.00
434,Caeser Iris,296.00,0.00,25.00
435,Papillon Tulips,373.00,0.00,25.00
436,Stargazer Lily in Orange,355.00,0.00,25.00
